ref_date,date,geo,dguid,geo_uid,labour_force_characteristics,educational_attainment,gender,age_group,value,val_norm,uom,uom_id,scalar_factor,scalar_id,vector,coordinate,status,symbol,terminated,decimals,hierarchy_for_geo,classification_code_for_labour_force_characteristics,hierarchy_for_labour_force_characteristics,classification_code_for_educational_attainment,hierarchy_for_educational_attainment,classification_code_for_gender,hierarchy_for_gender,classification_code_for_age_group,hierarchy_for_age_group,total,percent
1990,1990-07-01,Canada,2021A000011124,11124,Employment rate,High school graduate,Total - Gender,25 to 44 years,79.1,0.7909999999999999,Percent,239,units,0,v2582745,1.10.4.1.4,NA,NA,NA,1,1,NA,10,NA,1.4,NA,1,NA,4,79.1,100
1990,1990-07-01,Canada,2021A000011124,11124,Employment rate,University degree,Total - Gender,25 to 44 years,88.2,0.882,Percent,239,units,0,v2582748,1.10.7.1.4,NA,NA,NA,1,1,NA,10,NA,1.7,NA,1,NA,4,79.1,111.50442477876106
1991,1991-07-01,Canada,2021A000011124,11124,Population,0 to 8  years,Total - Gender,25 to 44 years,496.3,496300,Persons in thousands,428,thousands,3,v2582662,1.1.2.1.4,NA,NA,NA,1,1,NA,1,NA,1.2,NA,1,NA,4,9300.4,5.336329620231388
1991,1991-07-01,Canada,2021A000011124,11124,Population,Some high school,Total - Gender,25 to 44 years,1529.6,1529600,Persons in thousands,428,thousands,3,v2582663,1.1.3.1.4,NA,NA,NA,1,1,NA,1,NA,1.3,NA,1,NA,4,9300.4,16.446604447120556
1991,1991-07-01,Canada,2021A000011124,11124,Population,High school graduate,Total - Gender,25 to 44 years,2258.9,2258900,Persons in thousands,428,thousands,3,v2582664,1.1.4.1.4,NA,NA,NA,1,1,NA,1,NA,1.4,NA,1,NA,4,9300.4,24.288202657950198
1991,1991-07-01,Canada,2021A000011124,11124,Population,University degree,Total - Gender,25 to 44 years,1511.2,1511200,Persons in thousands,428,thousands,3,v2582667,1.1.7.1.4,NA,NA,NA,1,1,NA,1,NA,1.7,NA,1,NA,4,9300.4,16.248763494043267
1991,1991-07-01,Canada,2021A000011124,11124,Labour force,0 to 8  years,Total - Gender,25 to 44 years,318.7,318700,Persons in thousands,428,thousands,3,v2582671,1.2.2.1.4,NA,NA,NA,1,1,NA,1.2,NA,1.2,NA,1,NA,4,7942.5,4.012590494176896
1991,1991-07-01,Canada,2021A000011124,11124,Labour force,Some high school,Total - Gender,25 to 44 years,1182.1,1182100,Persons in thousands,428,thousands,3,v2582672,1.2.3.1.4,NA,NA,NA,1,1,NA,1.2,NA,1.3,NA,1,NA,4,7942.5,14.883223166509284
1991,1991-07-01,Canada,2021A000011124,11124,Labour force,High school graduate,Total - Gender,25 to 44 years,1927.8,1927800,Persons in thousands,428,thousands,3,v2582673,1.2.4.1.4,NA,NA,NA,1,1,NA,1.2,NA,1.4,NA,1,NA,4,7942.5,24.271954674220964
1991,1991-07-01,Canada,2021A000011124,11124,Labour force,University degree,Total - Gender,25 to 44 years,1387.9,1387900,Persons in thousands,428,thousands,3,v2582676,1.2.7.1.4,NA,NA,NA,1,1,NA,1.2,NA,1.7,NA,1,NA,4,7942.5,17.474346868114573
1991,1991-07-01,Canada,2021A000011124,11124,Employment,0 to 8  years,Total - Gender,25 to 44 years,255.5,255500,Persons in thousands,428,thousands,3,v2582680,1.3.2.1.4,NA,NA,NA,1,1,NA,1.2.3,NA,1.2,NA,1,NA,4,7165.3,3.5657962681255495
1991,1991-07-01,Canada,2021A000011124,11124,Employment,Some high school,Total - Gender,25 to 44 years,995.5,995500,Persons in thousands,428,thousands,3,v2582681,1.3.3.1.4,NA,NA,NA,1,1,NA,1.2.3,NA,1.3,NA,1,NA,4,7165.3,13.893347103401114
1991,1991-07-01,Canada,2021A000011124,11124,Employment,High school graduate,Total - Gender,25 to 44 years,1738.2,1738200,Persons in thousands,428,thousands,3,v2582682,1.3.4.1.4,NA,NA,NA,1,1,NA,1.2.3,NA,1.4,NA,1,NA,4,7165.3,24.258579543075655
1991,1991-07-01,Canada,2021A000011124,11124,Employment,University degree,Total - Gender,25 to 44 years,1317.9,1317900,Persons in thousands,428,thousands,3,v2582685,1.3.7.1.4,NA,NA,NA,1,1,NA,1.2.3,NA,1.7,NA,1,NA,4,7165.3,18.392809791634683
1991,1991-07-01,Canada,2021A000011124,11124,Full-time employment,0 to 8  years,Total - Gender,25 to 44 years,222.3,222300,Persons in thousands,428,thousands,3,v2582689,1.4.2.1.4,NA,NA,NA,1,1,NA,1.2.3.4,NA,1.2,NA,1,NA,4,6281.6,3.5389072847682117
1991,1991-07-01,Canada,2021A000011124,11124,Full-time employment,Some high school,Total - Gender,25 to 44 years,865.7,865700,Persons in thousands,428,thousands,3,v2582690,1.4.3.1.4,NA,NA,NA,1,1,NA,1.2.3.4,NA,1.3,NA,1,NA,4,6281.6,13.781520631686194
1991,1991-07-01,Canada,2021A000011124,11124,Full-time employment,High school graduate,Total - Gender,25 to 44 years,1509,1509000,Persons in thousands,428,thousands,3,v2582691,1.4.4.1.4,NA,NA,NA,1,1,NA,1.2.3.4,NA,1.4,NA,1,NA,4,6281.6,24.022542027508912
1991,1991-07-01,Canada,2021A000011124,11124,Full-time employment,University degree,Total - Gender,25 to 44 years,1180.8,1180800,Persons in thousands,428,thousands,3,v2582694,1.4.7.1.4,NA,NA,NA,1,1,NA,1.2.3.4,NA,1.7,NA,1,NA,4,6281.6,18.79775853285787
1991,1991-07-01,Canada,2021A000011124,11124,Part-time employment,0 to 8  years,Total - Gender,25 to 44 years,33.2,33200,Persons in thousands,428,thousands,3,v2582698,1.5.2.1.4,NA,NA,NA,1,1,NA,1.2.3.5,NA,1.2,NA,1,NA,4,883.7,3.756931085209913
1991,1991-07-01,Canada,2021A000011124,11124,Part-time employment,Some high school,Total - Gender,25 to 44 years,129.8,129800.00000000001,Persons in thousands,428,thousands,3,v2582699,1.5.3.1.4,NA,NA,NA,1,1,NA,1.2.3.5,NA,1.3,NA,1,NA,4,883.7,14.688242616272492
1991,1991-07-01,Canada,2021A000011124,11124,Part-time employment,High school graduate,Total - Gender,25 to 44 years,229.2,229200,Persons in thousands,428,thousands,3,v2582700,1.5.4.1.4,NA,NA,NA,1,1,NA,1.2.3.5,NA,1.4,NA,1,NA,4,883.7,25.936403756931085
1991,1991-07-01,Canada,2021A000011124,11124,Part-time employment,University degree,Total - Gender,25 to 44 years,137.1,137100,Persons in thousands,428,thousands,3,v2582703,1.5.7.1.4,NA,NA,NA,1,1,NA,1.2.3.5,NA,1.7,NA,1,NA,4,883.7,15.514314812719247
